name,lat,lon,weather_description,sys_country
San Francisco del Mar Viejo,15.374744404597834,-94.70887157206623,lluvia moderada,MX
Ciudad de Villaldama,26.41348303536641,-100.40895639546613,nubes,MX
Bustamante,26.717232116216685,-100.68637510728195,muy nuboso,MX
Todos Santos,22.756952898390352,-111.3961379166806,cielo claro,MX
Luis Gil Pérez,17.87758083001978,-93.01328472735067,nubes,MX
Ejido Plan de Guadalupe,25.4163628254254,-109.59560640242391,cielo claro,MX
Río Grande,23.90426529924419,-103.19461029703018,nubes,MX
San Fernando,24.82464584641211,-98.09330278976532,nubes,MX
Barra de Tecoanapa,15.874083382032964,-98.94320380879793,algo de nubes,MX
Ranas,19.395125004723553,-87.01222681304303,nubes,MX
Abasolo,20.545889544039266,-101.52247857377287,nubes,MX
Copainalá,17.07657950801685,-93.20513048574273,nubes,MX
San Juan Raboso,18.59153286173881,-98.42132238013913,nubes,MX
Lázaro Cárdenas,17.12109062071548,-102.37156034598571,nubes dispersas,MX
Coahuayana de Hidalgo,17.761500270086664,-104.01864890799048,algo de nubes,MX
San José del Progreso,15.020182178783658,-98.02751362426608,muy nuboso,MX
Ascención,30.971875659367065,-107.97307258186922,algo de nubes,MX
Paraiso,18.730997172440148,-93.69584815068042,nubes,MX
San Diego de Alejandría,20.8834566535978,-102.09353588616386,muy nuboso,MX
Valentín Gómez Farías,28.03885046747576,-106.26059792684613,cielo claro,MX
Ciudad Constitución,24.305727961576448,-111.73011939899287,cielo claro,MX
Huauchinango,20.093428100974815,-97.98776445160333,nubes dispersas,MX
Tambuco,16.53543514147407,-100.30876058634945,nubes,MX
Baja California,29.6475222726182,-115.50748222319288,algo de nubes,MX
Baja California,30.20364060487291,-114.24074569242897,cielo claro,MX
Isla Mujeres,21.9311246194354,-86.67127552597574,muy nuboso,MX
Santa Rosalía,27.50230003178954,-112.08071379917743,cielo claro,MX
Villa Ocampo,26.45605256398887,-104.58315987079503,nubes dispersas,MX
Técpan de Galeana,16.787764920951105,-100.96463831604657,muy nuboso,MX
Ixtlahuacán del Río,21.056786259383212,-103.37063103676012,lluvia ligera,MX
Asunción Ocotlán,16.70028796620404,-96.73538365411619,lluvia ligera,MX
San Francisco Ixhuatan,16.197322150807118,-94.41469985578783,lluvia moderada,MX
Villa Tecolutilla,18.450175645474097,-93.6923274490227,lluvia ligera,MX
Santana Viejo,25.409532410942322,-99.69834969954069,nubes,MX
Pilar,28.416006048886246,-110.43489307610805,cielo claro,MX
Mapastepec,15.567841977611431,-92.87212092694492,lluvia ligera,MX
Acambay,19.892740370096156,-99.82355116195077,nubes dispersas,MX
Jiménez,28.300614403120168,-104.9616824891389,nubes dispersas,MX
Atlautla,19.01746751859289,-98.72879438720796,lluvia ligera,MX
La Soledad,27.98748430293335,-111.78127776539264,cielo claro,MX
Sabinas,27.725679662669425,-100.89508747668644,nubes,MX
San Buenaventura,29.6134358889999,-107.19188695789205,cielo claro,MX
Los Barriles,23.626106403127697,-108.62466254100096,muy nuboso,MX
Pánuco de Coronado,24.58666537500584,-104.54348617742806,muy nuboso,MX
El Sauzal de Rodríguez,31.341847568256117,-118.09360379241573,muy nuboso,MX
Isla del Bosque,22.741767628515085,-105.93009152446925,nubes,MX
Pitiquito,30.63270172757035,-112.11805969751836,cielo claro,MX
Sonora,29.197306402801498,-110.50035191107827,cielo claro,MX
Nuevo Progreso,22.86418251178552,-97.12477362465313,muy nuboso,MX
San Quintín,29.744422486636104,-116.77366442984888,cielo claro,MX
Mapimí,26.24475688980086,-104.45681254962332,muy nuboso,MX
Celestún,21.177935270064236,-91.74400702811506,lluvia ligera,MX
Ciudad Tula,23.253510570753328,-99.8998955713235,muy nuboso,MX
Lototla,20.91835000894628,-98.8581955687022,nubes dispersas,MX
Guerrero Negro,27.955478743364832,-114.76457472060301,cielo claro,MX
Ojinaga,29.50133553472027,-105.09670657035305,nubes dispersas,MX
Yalina,17.26294519262958,-96.25427656385112,nubes,MX
Benito Juárez,29.66271630994605,-107.85982752315665,nubes dispersas,MX
Kantunilkín,21.209088381962783,-87.5009673171649,muy nuboso,MX
La Primavera,25.427294699493036,-108.24391900393447,nubes,MX
La Mira Tumbiscatio,18.56729430876646,-102.25490755694817,lluvia ligera,MX
Isla del Bosque,22.499493483878858,-106.2581291893506,nubes,MX
Huejuquilla el Alto,22.65528836094962,-104.44605940699643,lluvia ligera,MX
Jerez de García Salinas,22.616081492607474,-103.07334808305042,lluvia ligera,MX
Santa Catarina Mechoacán,16.42511951356989,-97.69562820645552,lluvia ligera,MX
San Fernando,24.544653895310294,-97.66950273555149,nubes,MX
Santiago Lachiguiri,16.865055577548574,-95.37354394384931,nubes,MX
Benemérito de las Américas,16.598420791310335,-90.56712439900446,lluvia ligera,MX
El Confital,22.946666170965404,-106.35473662791819,nubes,MX
Camalú,30.72535304010955,-117.49665334389057,cielo claro,MX
Guerrero,17.608842384550204,-100.2846283489324,lluvia ligera,MX
Cuetzala del Progreso,18.00944650080644,-99.95928999622772,lluvia ligera,MX
San Cristóbal,24.951044431869065,-97.09836853546386,nubes,MX
Ciudad Constitución,24.082590772714084,-112.33659616839536,cielo claro,MX
San José del Cabo,22.636524015026794,-108.43628451391342,algo de nubes,MX
Santa Rosalía,27.135763145348072,-112.34826582116663,cielo claro,MX
Guamúchil,25.244549362770528,-108.67992864010454,nubes,MX
La Manga,29.564292058370278,-111.2809694696052,cielo claro,MX
Los Cochitos Palo Verde,29.043266894952858,-110.74045794204162,cielo claro,MX
Imuris,30.734931288902864,-110.9137295056177,cielo claro,MX
Bahía de Kino,28.99983130149869,-111.85991254492448,cielo claro,MX
Chontalpa,17.605219117779477,-93.79091120911025,nubes,MX
Santa Isabel,28.269264055636263,-112.61845016284673,cielo claro,MX
Topolobampo,25.530136328025886,-109.29967560691148,algo de nubes,MX
Rodeo,25.034404886092,-104.6993243291898,muy nuboso,MX
Mundo Nuevo (Ojo de Agua),19.691563927033727,-94.73151138986191,nubes,MX
Ranas,19.115141765955418,-86.82414294083523,nubes,MX
Huitzilac,19.092921915602226,-99.34134701926433,lluvia ligera,MX
Santa Anita,23.277155752146346,-108.88318697140382,muy nuboso,MX
Chiautla de Tapia,18.351505516324927,-98.49848378963483,lluvia ligera,MX
Ixtlán de Juárez,17.460641608536637,-96.63692010757244,nubes,MX
Campeche,19.09552726111725,-90.50819566488113,nubes,MX
Guadalcázar,22.680045810348755,-100.35736437911888,lluvia moderada,MX
Benito Juárez,29.91143390353909,-107.82721338423268,nubes dispersas,MX
Barra de Tecoanapa,15.702484905264146,-99.00959311292377,nubes dispersas,MX
Guerrero Negro,27.266285472223565,-115.31850603560292,cielo claro,MX
Santa Rosalía,27.51928120036483,-112.22901730130775,cielo claro,MX
Rosarito,31.98168304712922,-117.91696633789655,nubes dispersas,MX
Teocuitatlán de Corona,20.13097228258647,-103.45697023487105,lluvia moderada,MX
Rodeo,25.228864993956854,-104.8960490576317,muy nuboso,MX
Isla Aguada,18.94702589079163,-91.58851368566565,lluvia ligera,MX
Churumuco de Morelos,18.595306080810523,-101.47629124536982,algo de nubes,MX
Churumuco de Morelos,18.582492664201165,-101.94949367477311,lluvia ligera,MX
Progreso,22.449864628642736,-89.65814663734841,lluvia ligera,MX
Teúl de González Ortega,21.29798693592812,-103.58452845244912,lluvia ligera,MX
Ocampo,27.903163047583433,-103.47285868591851,cielo claro,MX
El Carrizo,24.139545730013914,-106.83644183172422,lluvia ligera,MX
Nicolás Bravo,18.82946999704307,-89.26233627941791,nubes,MX
Toluca,19.282733030748407,-99.63564310703305,algo de nubes,MX
Cabo San Lucas,21.76554700304543,-110.01075926524305,cielo claro,MX
Cintalapa de Figueroa,16.54671523417825,-93.88164166374634,nubes,MX
Abasolo,20.41153947939763,-101.50548683604146,nubes,MX
Celestún,21.55000232573207,-91.16021331616624,lluvia ligera,MX
Mina,26.133450988098776,-100.77278396648524,nubes,MX
