name,lat,lon,weather_description,sys_country,address,city,country,match_address,match_city,match_country
San Francisco del Mar Viejo,15.374744,-94.708872,lluvia moderada,MX,,,,False,False,False
Ciudad de Villaldama,26.413483,-100.408956,nubes,MX,El Potrero,Nuevo León,Mexico,False,False,False
Bustamante,26.717232,-100.686375,muy nuboso,MX,Campo Real,Coahuila,Mexico,False,False,False
Todos Santos,22.756953,-111.396138,cielo claro,MX,,,,False,False,False
Luis Gil Pérez,17.877581,-93.013285,nubes,MX,Boqueron,Tabasco,Mexico,False,False,False
Ejido Plan de Guadalupe,25.416363,-109.595606,cielo claro,MX,,,,False,False,False
Río Grande,23.904265,-103.19461,nubes,MX,José María Morelos y Pavón,Zacatecas,Mexico,False,False,False
San Fernando,24.824646,-98.093303,nubes,MX,San Fernando,Tamaulipas,Mexico,True,False,False
Barra de Tecoanapa,15.874083,-98.943204,algo de nubes,MX,,,,False,False,False
Ranas,19.395125,-87.012227,nubes,MX,,,,False,False,False
Abasolo,20.54589,-101.522479,nubes,MX,Campo Real,Guanajuato,Mexico,False,False,False
Copainalá,17.07658,-93.20513,nubes,MX,Chiapas 102,Chiapas,Mexico,False,False,False
San Juan Raboso,18.591533,-98.421322,nubes,MX,San José las Bocas,Puebla,Mexico,False,False,False
Lázaro Cárdenas,17.121091,-102.37156,nubes dispersas,MX,,,,False,False,False
Coahuayana de Hidalgo,17.7615,-104.018649,algo de nubes,MX,,,,False,False,False
San José del Progreso,15.020182,-98.027514,muy nuboso,MX,,,,False,False,False
Ascención,30.971876,-107.973073,algo de nubes,MX,Ascensión,Chihuahua,Mexico,False,False,False
Paraiso,18.730997,-93.695848,nubes,MX,,,,False,False,False
San Diego de Alejandría,20.883457,-102.093536,muy nuboso,MX,El Pitahayo,Jalisco,Mexico,False,False,False
Valentín Gómez Farías,28.03885,-106.260598,cielo claro,MX,San Juan Bautista,Chihuahua,Mexico,False,False,False
Ciudad Constitución,24.305728,-111.730119,cielo claro,MX,,,,False,False,False
Huauchinango,20.093428,-97.987764,nubes dispersas,MX,Zempoala,Puebla,Mexico,False,False,False
Tambuco,16.535435,-100.308761,nubes,MX,,,,False,False,False
Baja California,29.647522,-115.507482,algo de nubes,MX,Punta San Carlos,Baja California,Mexico,False,True,False
Baja California,30.203641,-114.240746,cielo claro,MX,,,,False,False,False
Isla Mujeres,21.931125,-86.671276,muy nuboso,MX,,,,False,False,False
Santa Rosalía,27.5023,-112.080714,cielo claro,MX,,,,False,False,False
Villa Ocampo,26.456053,-104.58316,nubes dispersas,MX,San Felipe,Chihuahua,Mexico,False,False,False
Técpan de Galeana,16.787765,-100.964638,muy nuboso,MX,,,,False,False,False
Ixtlahuacán del Río,21.056786,-103.370631,lluvia ligera,MX,La Media Luna,Jalisco,Mexico,False,False,False
Asunción Ocotlán,16.700288,-96.735384,lluvia ligera,MX,La Noria de Ortiz,Oaxaca,Mexico,False,False,False
San Francisco Ixhuatan,16.197322,-94.4147,lluvia moderada,MX,Reforma Agraria Integral,Oaxaca,Mexico,False,False,False
Villa Tecolutilla,18.450176,-93.692327,lluvia ligera,MX,El Alacrán,Tabasco,Mexico,False,False,False
Santana Viejo,25.409532,-99.69835,nubes,MX,Tlahualilo,Nuevo León,Mexico,False,False,False
Pilar,28.416006,-110.434893,cielo claro,MX,Punta de Agua,Sonora,Mexico,False,False,False
Mapastepec,15.567842,-92.872121,lluvia ligera,MX,Tres de Mayo,Chiapas,Mexico,False,False,False
Acambay,19.89274,-99.823551,nubes dispersas,MX,Chanteje,Estado de México,Mexico,False,False,False
Jiménez,28.300614,-104.961682,nubes dispersas,MX,Noriega,Chihuahua,Mexico,False,False,False
Atlautla,19.017468,-98.728794,lluvia ligera,MX,Atlautla,State of Mexico,Mexico,True,False,False
La Soledad,27.987484,-111.781278,cielo claro,MX,,,,False,False,False
Sabinas,27.72568,-100.895087,nubes,MX,Borregos,Coahuila de Zaragoza,Mexico,False,False,False
San Buenaventura,29.613436,-107.191887,cielo claro,MX,Agua Zarca,Chihuahua,Mexico,False,False,False
Los Barriles,23.626106,-108.624663,muy nuboso,MX,,,,False,False,False
Pánuco de Coronado,24.586665,-104.543486,muy nuboso,MX,Llano del Pino,Durango,Mexico,False,False,False
El Sauzal de Rodríguez,31.341848,-118.093604,muy nuboso,MX,,,,False,False,False
Isla del Bosque,22.741768,-105.930092,nubes,MX,La Puerta,Sinaloa,Mexico,False,False,False
Pitiquito,30.632702,-112.11806,cielo claro,MX,Caborca,Sonora,Mexico,False,False,False
Sonora,29.197306,-110.500352,cielo claro,MX,Noria,Sonora,Mexico,False,True,False
Nuevo Progreso,22.864183,-97.124774,muy nuboso,MX,,,,False,False,False
San Quintín,29.744422,-116.773664,cielo claro,MX,,,,False,False,False
Mapimí,26.244757,-104.456813,muy nuboso,MX,La Enramada,Durango,Mexico,False,False,False
Celestún,21.177935,-91.744007,lluvia ligera,MX,,,,False,False,False
Ciudad Tula,23.253511,-99.899896,muy nuboso,MX,Magdaleno Aguilar,Tamaulipas,Mexico,False,False,False
Lototla,20.91835,-98.858196,nubes dispersas,MX,Santo Domingo,Hidalgo,Mexico,False,False,False
Guerrero Negro,27.955479,-114.764575,cielo claro,MX,,,,False,False,False
Ojinaga,29.501336,-105.096707,nubes dispersas,MX,Santiago de Coyame,Chihuahua,Mexico,False,False,False
Yalina,17.262945,-96.254277,nubes,MX,San Andrés Solaga,Oaxaca,Mexico,False,False,False
Benito Juárez,29.662716,-107.859828,nubes dispersas,MX,Ignacio Zaragoza Municipality,Chihuahua,Mexico,False,False,False
Kantunilkín,21.209088,-87.500967,muy nuboso,MX,San Ángel,Quintana Roo,Mexico,False,False,False
La Primavera,25.427295,-108.243919,nubes,MX,Campo Pénjamo,Sinaloa,Mexico,False,False,False
La Mira Tumbiscatio,18.567294,-102.254908,lluvia ligera,MX,El Cascalote,Michoacán,Mexico,False,False,False
Isla del Bosque,22.499493,-106.258129,nubes,MX,,,,False,False,False
Huejuquilla el Alto,22.655288,-104.446059,lluvia ligera,MX,El Maguey,Durango,Mexico,False,False,False
Jerez de García Salinas,22.616081,-103.073348,lluvia ligera,MX,Susticacán,Zacatecas,Mexico,False,False,False
Santa Catarina Mechoacán,16.42512,-97.695628,lluvia ligera,MX,El Coyul,Oaxaca,Mexico,False,False,False
San Fernando,24.544654,-97.669503,nubes,MX,Punta de Alambre,Tamaulipas,Mexico,False,False,False
Santiago Lachiguiri,16.865056,-95.373544,nubes,MX,Progreso,Oaxaca,Mexico,False,False,False
Benemérito de las Américas,16.598421,-90.567124,lluvia ligera,MX,Palestine,Las Cruces,Petén,False,False,False
El Confital,22.946666,-106.354737,nubes,MX,,,,False,False,False
Camalú,30.725353,-117.496653,cielo claro,MX,,,,False,False,False
Guerrero,17.608842,-100.284628,lluvia ligera,MX,Cruz de Ocote,Guerrero,Mexico,False,True,False
Cuetzala del Progreso,18.009447,-99.95929,lluvia ligera,MX,Zacapostepec,Guerrero,Mexico,False,False,False
San Cristóbal,24.951044,-97.098369,nubes,MX,,,,False,False,False
Ciudad Constitución,24.082591,-112.336596,cielo claro,MX,,,,False,False,False
San José del Cabo,22.636524,-108.436285,algo de nubes,MX,,,,False,False,False
Santa Rosalía,27.135763,-112.348266,cielo claro,MX,San Venancio,Baja California Sur,Mexico,False,False,False
Guamúchil,25.244549,-108.679929,nubes,MX,,,,False,False,False
La Manga,29.564292,-111.280969,cielo claro,MX,Chino Alto,Sonora,Mexico,False,False,False
Los Cochitos Palo Verde,29.043267,-110.740458,cielo claro,MX,Cruz,Sonora,Mexico,False,False,False
